address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
5328 Main Saint (rt 53),Pizza Place,Lisle,US,us/il/lisle/5328mainsaintrt53/1594835686,41.788221,-88.07471538,4.39,4.39,USD,"2015-10-20T01:35:25Z,2016-03-28T06:00:49Z",,Pizza Burger,Passero's Pizza,60532,,0,0,IL
5328 Main Saint (rt 53),Pizza Place,Lisle,US,us/il/lisle/5328mainsaintrt53/1594835686,41.788221,-88.07471538,2.79,2.79,USD,"2015-10-20T01:35:25Z,2016-03-28T06:00:49Z",,Pizza Puff,Passero's Pizza,60532,,0,0,IL
600 N Colony Rd,Chinese Restaurant,Wallingford,US,us/ct/wallingford/600ncolonyrd/-1110760305,41.469563,-72.81672,3.5,3.5,USD,"2016-05-15T21:05:00Z,2016-05-09T21:27:30Z",,Scallion Pancakes (chinese Pizza),Panda Garden,6492,USD,25,40,CT
2202 Ogden Ave,Restaurant,Aurora,US,us/il/aurora/2202ogdenave/1998311912,41.732212,-88.26191,4.99,4.99,USD,"2016-04-04T03:17:54Z,2016-03-30T04:16:35Z",,Pizza Puff,Mr. Broast,60504,,0,0,IL
8122 Guide Meridian Rd,Restaurants,Lynden,US,us/wa/lynden/8122guidemeridianrd/-133989490,48.936131,-122.4822271,17.99,17.99,USD,2016-06-20T20:28:40Z,,1 Topping Pizza,Milt's Pizza Place Llc,98264,,0,0,WA
8122 Guide Meridian Rd,Restaurants,Lynden,US,us/wa/lynden/8122guidemeridianrd/-133989490,48.936131,-122.4822271,6.49,4.49,USD,2016-06-20T20:28:40Z,,Dessert Pizza,Milt's Pizza Place Llc,98264,,0,0,WA
8122 Guide Meridian Rd,Restaurants,Lynden,US,us/wa/lynden/8122guidemeridianrd/-133989490,48.936131,-122.4822271,4.99,4.99,USD,2016-06-20T20:28:40Z,,Mini Pizza,Milt's Pizza Place Llc,98264,,0,0,WA
8122 Guide Meridian Rd,Restaurants,Lynden,US,us/wa/lynden/8122guidemeridianrd/-133989490,48.936131,-122.4822271,4.99,4.49,USD,2016-06-20T20:28:40Z,,Pizza Bread,Milt's Pizza Place Llc,98264,,0,0,WA
8122 Guide Meridian Rd,Restaurants,Lynden,US,us/wa/lynden/8122guidemeridianrd/-133989490,48.936131,-122.4822271,22.99,12.49,USD,2016-06-20T20:28:40Z,,Taco Pizza,Milt's Pizza Place Llc,98264,,0,0,WA
3906 S 12th St,Pizza,Tacoma,US,us/wa/tacoma/3906s12thst/-2067748011,47.24998,-122.48963,4.49,4.49,USD,"2017-01-16T18:10:13Z,2016-03-21T01:45:09Z",With 2 cups of pizza sauce,Pizza Bread Slices,Pizza Time,98405,,0,0,WA
